,Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Type,Size
0,1,2010-02-05,42.31,2.572,21654.29776545714,21654.29776545714,21654.29776545714,21654.29776545714,21654.29776545714,211.0963582,8.106,0,A,151315
1,1,2010-02-12,38.51,2.548,21653.915167114286,21653.915167114286,21653.915167114286,21653.915167114286,21653.915167114286,211.24216980000003,8.106,1,A,151315
2,1,2010-02-19,39.93,2.514,21653.977020414284,21653.977020414284,21653.977020414284,21653.977020414284,21653.977020414284,211.2891429,8.106,0,A,151315
3,1,2010-02-26,46.63,2.5610000000000004,21654.945234699997,21654.945234699997,21654.945234699997,21654.945234699997,21654.945234699997,211.3196429,8.106,0,A,151315
4,1,2010-03-05,46.5,2.625,21654.940163271425,21654.940163271425,21654.940163271425,21654.940163271425,21654.940163271425,211.3501429,8.106,0,A,151315
5,1,2010-03-12,57.79,2.667,21656.563377557144,21656.563377557144,21656.563377557144,21656.563377557144,21656.563377557144,211.3806429,8.106,0,A,151315
6,1,2010-03-19,54.58,2.72,21656.088805,21656.088805,21656.088805,21656.088805,21656.088805,211.215635,8.106,0,A,151315
7,1,2010-03-26,51.45,2.732,21655.615148914287,21655.615148914287,21655.615148914287,21655.615148914287,21655.615148914287,211.0180424,8.106,0,A,151315
8,1,2010-04-02,62.27,2.719,21657.08820712857,21657.08820712857,21657.08820712857,21657.08820712857,21657.08820712857,210.8204499,7.808,0,A,151315
9,1,2010-04-09,65.86,2.77,21657.580122485717,21657.580122485717,21657.580122485717,21657.580122485717,21657.580122485717,210.6228574,7.808,0,A,151315
10,1,2010-04-16,66.32,2.8080000000000003,21657.6321,21657.6321,21657.6321,21657.6321,21657.6321,210.4887,7.808,0,A,151315
11,1,2010-04-23,64.84,2.795,21657.411731828568,21657.411731828568,21657.411731828568,21657.411731828568,21657.411731828568,210.4391228,7.808,0,A,151315
12,1,2010-04-30,67.41,2.78,21657.76964937143,21657.76964937143,21657.76964937143,21657.76964937143,21657.76964937143,210.3895456,7.808,0,A,151315
13,1,2010-05-07,72.55,2.835,21658.504709771427,21658.504709771427,21658.504709771427,21658.504709771427,21658.504709771427,210.3399684,7.808,0,A,151315
14,1,2010-05-14,74.78,2.854,21658.8256323,21658.8256323,21658.8256323,21658.8256323,21658.8256323,210.3374261,7.808,0,A,151315
15,1,2010-05-21,76.44,2.826,21659.09872762857,21659.09872762857,21659.09872762857,21659.09872762857,21659.09872762857,210.6170934,7.808,0,A,151315
16,1,2010-05-28,80.44,2.759,21659.70053722857,21659.70053722857,21659.70053722857,21659.70053722857,21659.70053722857,210.8967606,7.808,0,A,151315
17,1,2010-06-04,80.69,2.705,21659.768489685717,21659.768489685717,21659.768489685717,21659.768489685717,21659.768489685717,211.1764278,7.808,0,A,151315
18,1,2010-06-11,80.43,2.668,21659.76601358571,21659.76601358571,21659.76601358571,21659.76601358571,21659.76601358571,211.4560951,7.808,0,A,151315
19,1,2010-06-18,84.11,2.637,21660.286967414286,21660.286967414286,21660.286967414286,21660.286967414286,21660.286967414286,211.4537719,7.808,0,A,151315
20,1,2010-06-25,84.34,2.653,21660.305664657142,21660.305664657142,21660.305664657142,21660.305664657142,21660.305664657142,211.3386526,7.808,0,A,151315
21,1,2010-07-02,80.91,2.669,21659.798504757142,21659.798504757142,21659.798504757142,21659.798504757142,21659.798504757142,211.2235333,7.787000000000001,0,A,151315
22,1,2010-07-09,80.48,2.642,21659.716773428572,21659.716773428572,21659.716773428572,21659.716773428572,21659.716773428572,211.108414,7.787000000000001,0,A,151315
23,1,2010-07-16,83.15,2.623,21660.09434077143,21660.09434077143,21660.09434077143,21660.09434077143,21660.09434077143,211.1003854,7.787000000000001,0,A,151315
24,1,2010-07-23,83.36,2.608,21660.141449185718,21660.141449185718,21660.141449185718,21660.141449185718,21660.141449185718,211.2351443,7.787000000000001,0,A,151315
