,words
0,turmoil
1,engulfed
2,galactic
3,republic
4,taxation
5,trade
6,routes
7,outlaying
8,star
9,systems
10,dispute
11,hoping
12,resolve
13,matter
14,blockade
15,deadly
16,battleships
17,greedy
18,trade
19,federation
20,stopped
21,shipping
22,small
23,planet
24,naboo
25,congress
26,republic
27,endlessly
28,debates
29,alarming
30,chain
31,events
32,supreme
33,chancellor
34,secretly
35,dispatched
36,two
37,jedi
38,knights
39,guardians
40,peace
41,justice
42,galaxy
43,settle
44,conflict
45,pan
46,reveal
47,small
48,space
49,cruiser
50,heading
51,toward
52,camera
53,great
54,speed
55,pan
56,cruiser
57,heads
58,towardthe
59,beautiful
60,green
61,planet
62,naboo
63,surrounded
64,hundreds
65,trade
66,federation
67,battleships
68,int
69,republic
70,cruiser
71,cockpit
72,cockpit
73,cruise
74,captain
75,pilot
76,maneuver
77,closer
78,one
79,battleships
80,quigon
81,screen
82,voice
83,captain
84,captain
85,turns
86,unseen
87,figure
88,sitting
89,behind
90,captain
91,yes
92,sir
93,quigon
94,vo
95,tell
96,wish
97,board
98,captain
99,yes
100,sir
101,captain
102,looks
103,view
104,screen
105,nute
106,gunray
107,neimoidian
108,trade
109,viceroy
110,waits
111,reply
112,captain
113,contd
114,due
115,respect
116,trade
117,federation
118,ambassodors
119,supreme
120,chancellor
121,wish
122,board
123,immediately
124,nute
125,yes
126,yes
127,coarseahhhas
128,know
129,blockade
130,perfectly
131,legal
132,wed
133,happy
134,recieve
135,ambassadorhappy
136,screen
137,goes
138,black
139,cockpit
140,window
141,sinister
142,battleship
143,looms
144,ever
145,closer
146,ext
147,federation
148,battleship
149,docking
150,bay
151,space
152,fx
153,small
154,space
155,cruiser
156,docks
157,enormous
158,main
159,bay
160,federation
161,battleship
162,int
163,federation
164,battleship
165,docking
166,bay
167,space
168,protocol
169,droid
170,tc
171,waits
172,door
173,docking
174,bay
175,two
176,worker
177,droids
178,pk
179,eg
180,watch
181,pk
182,must
183,important
184,viceroy
185,sent
186,one
187,useless
188,protocol
189,gearheads
190,greet
191,door
192,opens
193,republic
194,cruiser
195,seen
196,docking
197,bay
198,two
199,darkly
200,robed
201,figures
202,greeted
203,tc
204,tc
205,im
206,tc
207,service
208,way
209,please
210,move
211,hallway
212,eg
213,republic
214,cruiser
215,thats
216,troubledont
217,think
218,pr
219,im
220,made
221,think
222,int
223,federation
224,battleship
225,conference
226,room
227,door
228,slides
229,open
230,two
231,cloaked
232,shapes
233,led
234,past
235,camera
236,formal
237,conference
238,room
239,tc
240,tc
241,hope
242,honoured
243,sirs
244,comfortable
245,master
246,shortly
247,droid
248,bows
249,obiwan
250,kenobi
251,qui
252,gon
253,jinn
254,backs
255,door
256,closes
257,jedi
258,lower
259,hoods
260,look
261,large
262,window
263,lush
264,green
265,planet
266,naboo
267,quigon
268,sixty
269,years
270,old
271,long
272,white
273,hair
274,ponytail
275,tall
276,striking
277,blue
278,eyes
279,obiwan
280,twenty
281,five
282,short
283,brown
284,hair
285,pale
286,skin
287,blue
288,eyes
289,several
290,exotic
291,birdlike
292,creatures
293,sing
294,cage
295,near
296,door
297,obiwan
298,bad
299,feeling
300,quigon
301,dont
302,sense
303,anything
304,obiwan
305,mission
306,master
307,somethgingelsewhereelusive
308,quigon
309,dont
310,center
311,anxiety
312,obiwan
313,keep
314,concentration
315,belongs
316,obiwan
317,master
318,yoda
319,says
320,mindful
321,future
322,quigon
323,expense
324,moment
325,mindful
326,living
327,force
328,young
329,padawan
330,obiwan
331,yes
332,masterhow
333,think
334,trade
335,viceroy
336,deal
337,chancellors
338,demands
339,quigon
340,federation
341,types
342,cowards
343,negotiations
344,short
345,int
346,federation
347,battleship
