,Value,Input
0,1,turmoil has engulfed the galactic republic the taxation of trade routes to
1,1,outlaying star systems is in dispute
2,1,hoping to resolve the matter with a blockade of deadly battleships the
3,1,greedy trade federation has stopped all shipping to the small planet of
4,1,naboo
5,1,while the congress of the republic endlessly debates this alarming chain of
6,1,events the supreme chancellor has secretly dispatched two jedi knights
7,1,the guardians of peace and justice in the galaxy to settle the
8,1,conflict
9,1,pan down to reveal a small space cruiser heading toward camera at great
10,1,speed pan with the cruiser as it heads towardthe beautiful green planet of
11,1,naboo which is surrounded by hundreds of trade federation battleships
12,1,int republic cruiser  cockpit
13,1,in the cockpit of the cruise the captain and pilot maneuver closer to one
14,1,of the battleships
15,1,quigon  off screen voice captain
16,1,the captain turns to an unseen figure sitting behind her
17,1,captain  yes sir
18,1,quigon  vo tell them we wish to board at once
19,1,captain  yes sir
20,1,the captain looks to her view screen where nute gunray a neimoidian trade
21,1,viceroy waits for a reply
22,1,captain  contd with all due respect for the trade federation the
23,1,ambassodors for the supreme chancellor wish to board immediately
24,1,nute  yes yes of coarseahhhas you know our blockade is perfectly
25,1,legal and wed be happy to recieve the ambassadorhappy to
26,1,the screen goes black out the cockpit window the sinister battleship
27,1,looms ever closer
28,1,ext federation battleship  docking bay  space fx
29,1,the small space cruiser docks in the enormous main bay of the federation
30,1,battleship
31,1,int federation battleship  docking bay  space
32,1,a protocol droid tc waits at the door to the docking bay two worker
33,1,droids pk and eg watch
34,1,pk  they must be important if the viceroy sent one of those useless
35,1,protocol gearheads to greet them
36,1,the door opens and the republic cruiser can be seen in the docking bay
37,1,two darkly robed figures are greeted by tc
38,1,tc  im tc at your service this way please
39,1,they move off down the hallway
40,1,eg  a republic cruiser thats troubledont you think
41,1,pr  im not made to think
42,1,int federation battleship  conference room
43,1,a door slides open and the two cloaked shapes are led past camera into the
44,1,formal conference room by tc
45,1,tc  i hope you honoured sirs with the most comfortable here my master
46,1,will be with you shortly
47,1,the droid bows before obiwan kenobi and qui gon jinn he backs out the
48,1,door and it closes the jedi lower their hoods and look out a large window
49,1,at the lush green planet of naboo quigon sixty years old has long white
50,1,hair in a ponytail he is tall and striking with blue eyes obiwan is
51,1,twenty five with very short brown hair pale skin and blue eyes several
52,1,exotic birdlike creatures sing in a cage near the door
53,1,obiwan  i have a bad feeling about this
54,1,quigon  i dont sense anything
55,1,obiwan  its not about the mission master its
56,1,somethgingelsewhereelusive
57,1,quigon  dont center on your anxiety obiwan keep your concentration
58,1,here and now where it belongs
59,1,obiwan  master yoda says i should be mindful of the future
60,1,quigon  but not at the expense of the moment be mindful of the
61,1,living force my young padawan
62,1,obiwan  yes masterhow do you think the trade viceroy will deal with
63,1,the chancellors demands
64,1,quigon  these federation types are cowards the negotiations will be
65,1,short
66,1,int federation battleship  bridge
67,1,nute gunray and daultray dofine stand stunned before tc
68,1,nute  shaken what what did you say
69,1,tc  the ambassadors are jedi knights i believe
70,1,dofine  i knew it they were sent to force a settlement eh blind me
71,1,were done for
72,1,int federation battleship  hallway
73,1,a hologram of nute  surrounded by battle droids appears in the conference
74,1,room hallway
75,1,nute  they must be dead by now blast whats left of them
76,1,the hologram fades off as a battle droid owo cautiously opens the
77,1,door a deadly green cloud billows from the room battle droids cock their
78,1,weapons as a figure stumbles out of the smoke it is tc  carrying the
79,1,tray of drinks
80,1,tc  oh excuse me so sorry
81,1,the protocol droid passes the armed camp just as two flashing laser swords
82,1,fly out of the deadly fog cutting down several battle droids before they
83,1,can fire
84,1,int federation battleship  bridge
85,1,the bridge is a cocophony of alarms nute and rune watch owo on the
86,1,viewscreen
87,1,owo  not sure exactly what
88,1,owo is suddenly cut in half in midsentence rune gives nute a worried
89,1,look
90,1,nute  what in blazes is going on down there
91,1,rune  have you ever encountered a jedi knight before sir
92,1,nute  well not exactly but i dontpanicked seal off the bridge
93,1,rune  that wont be enough sir
94,1,the doors to the bridge slam shut
95,1,nute  i want destroyer droids up here at once
96,1,rune  we will not survive this
97,1,int federation battleship  hallway  outside bridge
98,1,quigon cuts several battle droids in half creating a shower of sparks and
99,1,metal parts obiwan raises his hand sending several battle droids
100,1,crashing into the wall
101,1,quigon makes his way to the bridge door and begins to cut through it
102,1,int federation battleship  bridge
103,1,the crew is very nervous as sparks start flying around the bridge door
104,1,quigon and obiwan are on the view screen
105,1,nute  close the blast doors
106,1,the huge very thick blast door slams shut followed by a second door then
107,1,a third there is a hissing sound as the huge doors seal shut quigon tabs
108,1,the door with his sword the screen goes black as a red spot appears in the
109,1,center of the blast door
110,1,rune  theyre still coming through
111,1,on the door chunks of molten metal begin to drop away
112,1,nute  impossible this is impossible
113,1,rune  where are those destroyer droids
114,1,int federation battleship  hallway  outside bridge
115,1,ten ugly destroyer wheel droids roll down the hallway at full speed just
116,1,before they get to the bridge area they stop and transform into their
117,1,battle configuration quigon cant see them but senses their presence
118,1,quigon  destroyer droids
119,1,obiwan  offhand id say this mission is past the negotiaion stage
120,1,the wheel droids led by p rush the entry area from three hallways
121,1,blasting away with their laser guns they stop firing and stand in a
122,1,semicircle as the smoke clears obiwan and quigon are nowhere to be
123,1,seen
124,1,p  switch to biothere they are
125,1,the jedi materialize at the far end of the hallway and dash through the
126,1,doorway that slams shut the wheel droids blast away at the two jedi with
127,1,their laser swords
128,1,obiwan  they have shield generators
129,1,quigon  its a standoff lets go
130,1,int federation battleship  bridge
131,1,nute and rune stand on the bridge watching the view screen as the wheel
132,1,droids pov speeds to the doorway
133,1,rune  we have them on the run sirtheyre no match for destroyer
134,1,droids
135,1,tey how  sir theyve gone up the ventilation shaft
136,1,int federation battleship  main bay
137,1,quigon and obiwan appear at a large vent in a giant hanger bay they are
138,1,careful not to be seen thousands of battle droids are loading onto landing
139,1,craft
140,1,quigon  battle droids
141,1,obiwan  its an invisible army
142,1,quigon  its an odd play for the trade federation weve got to warn the
143,1,naboo and contact chancellor valorum lets split up stow aboard separate
144,1,ships and meet down on the planet
145,1,obiwan  you were right about one thing master the negotiations were
146,1,short
147,1,int federation battleship  bridge
148,1,tey how recieves a transmission
149,1,tey how  sir a transmission from the planet
150,1,rune  its queen amidala herself
151,1,nute  at last were getting results
152,1,on the view screen queen amidala appears in her throne room wearing her
153,1,elaborate headdress and robes she sits surrounded by the governing
154,1,council and four handmaidens eirtae yane rabe and sache
155,1,nute  contd again you come before me your highness the federation is
156,1,pleased
157,1,amidala  you will not be pleased when you hear what i have to say
158,1,viceroyyour trade boycott of our planet has ended
159,1,nute smirks at rune
160,1,nute  i was not aware of such a failure
161,1,amidala  i have word that the senate is finally voting on this blockade of
162,1,yours
163,1,nute  i take it you know the outcome i wonder why they bother to vote
164,1,amidala  enough of this pretense viceroy im aware the chancellors
165,1,ambassadors are with you now and that you have beencommanded to reach a
166,1,settlement
167,1,nute  i know nothing about any ambassadorsyou must be mistaken
