Value,Input
1,turmoil has engulfed the galactic republic the taxation of trade routes to
1,outlaying star systems is in dispute
1,hoping to resolve the matter with a blockade of deadly battleships the
1,greedy trade federation has stopped all shipping to the small planet of
1,naboo
1,while the congress of the republic endlessly debates this alarming chain of
1,events the supreme chancellor has secretly dispatched two jedi knights
1,the guardians of peace and justice in the galaxy to settle the
1,conflict
1,pan down to reveal a small space cruiser heading toward camera at great
1,speed pan with the cruiser as it heads towardthe beautiful green planet of
1,naboo which is surrounded by hundreds of trade federation battleships
1,int republic cruiser  cockpit
1,in the cockpit of the cruise the captain and pilot maneuver closer to one
1,of the battleships
1,quigon  off screen voice captain
1,the captain turns to an unseen figure sitting behind her
1,captain  yes sir
1,quigon  vo tell them we wish to board at once
1,captain  yes sir
1,the captain looks to her view screen where nute gunray a neimoidian trade
1,viceroy waits for a reply
1,captain  contd with all due respect for the trade federation the
1,ambassodors for the supreme chancellor wish to board immediately
1,nute  yes yes of coarseahhhas you know our blockade is perfectly
1,legal and wed be happy to recieve the ambassadorhappy to
1,the screen goes black out the cockpit window the sinister battleship
1,looms ever closer
1,ext federation battleship  docking bay  space fx
1,the small space cruiser docks in the enormous main bay of the federation
1,battleship
1,int federation battleship  docking bay  space
1,a protocol droid tc waits at the door to the docking bay two worker
1,droids pk and eg watch
1,pk  they must be important if the viceroy sent one of those useless
1,protocol gearheads to greet them
1,the door opens and the republic cruiser can be seen in the docking bay
1,two darkly robed figures are greeted by tc
1,tc  im tc at your service this way please
1,they move off down the hallway
1,eg  a republic cruiser thats troubledont you think
1,pr  im not made to think
1,int federation battleship  conference room
1,a door slides open and the two cloaked shapes are led past camera into the
1,formal conference room by tc
1,tc  i hope you honoured sirs with the most comfortable here my master
1,will be with you shortly
1,the droid bows before obiwan kenobi and qui gon jinn he backs out the
1,door and it closes the jedi lower their hoods and look out a large window
1,at the lush green planet of naboo quigon sixty years old has long white
1,hair in a ponytail he is tall and striking with blue eyes obiwan is
1,twenty five with very short brown hair pale skin and blue eyes several
1,exotic birdlike creatures sing in a cage near the door
1,obiwan  i have a bad feeling about this
1,quigon  i dont sense anything
1,obiwan  its not about the mission master its
1,somethgingelsewhereelusive
1,quigon  dont center on your anxiety obiwan keep your concentration
1,here and now where it belongs
1,obiwan  master yoda says i should be mindful of the future
1,quigon  but not at the expense of the moment be mindful of the
1,living force my young padawan
1,obiwan  yes masterhow do you think the trade viceroy will deal with
1,the chancellors demands
1,quigon  these federation types are cowards the negotiations will be
1,short
1,int federation battleship  bridge
1,nute gunray and daultray dofine stand stunned before tc
1,nute  shaken what what did you say
1,tc  the ambassadors are jedi knights i believe
1,dofine  i knew it they were sent to force a settlement eh blind me
1,were done for
1,int federation battleship  hallway
1,a hologram of nute  surrounded by battle droids appears in the conference
1,room hallway
1,nute  they must be dead by now blast whats left of them
1,the hologram fades off as a battle droid owo cautiously opens the
1,door a deadly green cloud billows from the room battle droids cock their
1,weapons as a figure stumbles out of the smoke it is tc  carrying the
1,tray of drinks
1,tc  oh excuse me so sorry
1,the protocol droid passes the armed camp just as two flashing laser swords
1,fly out of the deadly fog cutting down several battle droids before they
1,can fire
1,int federation battleship  bridge
1,the bridge is a cocophony of alarms nute and rune watch owo on the
1,viewscreen
1,owo  not sure exactly what
1,owo is suddenly cut in half in midsentence rune gives nute a worried
1,look
1,nute  what in blazes is going on down there
1,rune  have you ever encountered a jedi knight before sir
1,nute  well not exactly but i dontpanicked seal off the bridge
1,rune  that wont be enough sir
1,the doors to the bridge slam shut
1,nute  i want destroyer droids up here at once
1,rune  we will not survive this
1,int federation battleship  hallway  outside bridge
1,quigon cuts several battle droids in half creating a shower of sparks and
1,metal parts obiwan raises his hand sending several battle droids
1,crashing into the wall
1,quigon makes his way to the bridge door and begins to cut through it
1,int federation battleship  bridge
1,the crew is very nervous as sparks start flying around the bridge door
1,quigon and obiwan are on the view screen
