,Word,Frequency
0,im,15641
1,captain,14174
2,dont,12995
3,one,11923
4,know,11314
5,well,10142
6,us,9924
7,youre,9062
8,sir,8822
9,get,8459
10,like,8171
11,would,7903
12,going,7536
13,right,7333
14,time,7114
15,think,6814
16,thats,6795
17,want,6551
18,could,6419
19,see,6335
20,yes,6289
21,go,5959
22,ive,5917
23,mister,5889
24,ship,5865
25,ill,5519
26,doctor,5498
27,take,5386
28,two,5231
29,back,5218
30,way,5207
31,cant,4833
32,come,4696
33,good,4511
34,commander,4300
35,need,4268
36,got,4113
37,theres,4094
38,something,4029
39,make,4023
40,tell,3940
41,hes,3886
42,theyre,3806
43,find,3777
44,people,3688
45,three,3686
46,never,3650
47,must,3620
48,oh,3523
49,may,3505
50,help,3437
51,say,3361
52,weve,3318
53,course,3317
54,still,3266
55,didnt,3216
56,first,3120
57,sure,3094
58,look,3037
59,let,3037
60,much,2909
61,youve,2899
62,long,2876
63,maybe,2866
64,id,2860
65,computer,2857
66,life,2835
67,believe,2822
68,whats,2788
69,man,2787
70,little,2777
71,data,2773
72,lieutenant,2701
73,nothing,2677
74,spock,2633
75,might,2613
76,anything,2582
77,give,2577
78,years,2559
79,power,2532
80,enterprise,2514
81,even,2488
82,try,2438
83,warp,2359
84,wont,2358
85,thank,2356
86,understand,2328
87,better,2316
88,thought,2315
89,please,2313
90,away,2288
91,seven,2262
92,five,2255
93,lets,2235
94,four,2212
95,keep,2200
96,youll,2199
97,said,2190
98,starfleet,2186
99,crew,2171
100,another,2163
101,really,2156
102,sorry,2145
103,thing,2127
104,work,2109
105,enough,2091
106,mean,2060
107,bridge,2032
108,ready,2020
109,isnt,2009
110,aye,1957
111,leave,1943
112,security,1931
113,last,1926
114,trying,1862
115,planet,1842
116,klingon,1839
117,kind,1830
118,worf,1776
119,ensign,1773
120,hours,1767
121,officer,1760
122,new,1759
123,wrong,1754
124,told,1752
125,made,1746
126,ships,1733
127,happened,1720
128,doesnt,1714
129,mind,1710
130,able,1701
131,hundred,1697
132,chief,1691
133,put,1665
134,day,1652
135,use,1646
136,shes,1638
137,ever,1635
138,point,1623
139,feel,1623
140,stop,1615
141,perhaps,1606
142,talk,1591
143,every,1591
144,done,1587
145,system,1557
146,things,1553
147,beam,1553
148,found,1542
149,home,1536
150,report,1504
151,youd,1488
152,place,1486
153,federation,1478
154,left,1475
155,remember,1468
156,ago,1460
157,six,1459
158,always,1454
159,someone,1448
160,weapons,1447
161,nine,1444
162,everything,1435
163,twenty,1427
164,vulcan,1423
165,stay,1418
166,field,1418
167,without,1406
168,kirk,1404
169,days,1400
170,station,1395
171,human,1393
172,many,1393
173,wouldnt,1392
174,hear,1390
175,wait,1389
176,command,1374
177,yet,1363
178,hope,1355
179,picard,1355
180,around,1347
181,vessel,1341
182,lot,1337
183,ahead,1302
184,old,1302
185,minutes,1297
186,woman,1292
187,ask,1290
188,tuvok,1283
189,control,1273
190,call,1272
191,exactly,1264
192,transporter,1264
193,far,1261
194,father,1259
195,wanted,1258
196,else,1252
197,havent,1247
198,shields,1244
199,wish,1244
200,fine,1241
201,stand,1236
202,borg,1236
203,fire,1230
204,room,1227
205,matter,1219
206,quite,1219
207,aboard,1213
208,space,1212
209,sensors,1200
210,coming,1195
211,alien,1195
212,getting,1192
213,order,1191
214,voyager,1172
215,q,1171
216,great,1168
217,kill,1167
218,riker,1167
219,afraid,1165
220,trek,1164
221,set,1157
222,dead,1155
223,possible,1145
224,idea,1140
225,used,1135
226,already,1128
227,problem,1122
228,open,1122
229,return,1118
230,wasnt,1111
231,seems,1108
232,next,1105
233,came,1101
234,present,1101
235,earth,1096
236,heard,1095
237,die,1093
238,guess,1093
239,systems,1090
240,since,1081
241,hell,1079
242,log,1077
243,bring,1071
244,soon,1070
245,quark,1064
246,name,1061
247,sickbay,1061
248,lost,1059
249,hold,1059
250,seen,1057
251,anyone,1055
252,ten,1055
253,captains,1051
254,least,1050
255,run,1047
256,star,1045
257,medical,1043
258,working,1039
259,part,1033
260,chance,1024
261,gone,1019
262,best,1015
263,okay,1010
264,eight,1009
265,mission,1007
266,odo,1003
267,full,1003
268,contact,997
269,major,994
270,looking,993
271,theyve,990
272,care,990
273,love,989
274,talking,984
275,copyright,982
276,knew,981
277,seem,969
278,energy,967
279,cardassian,953
280,janeway,950
281,looks,948
282,voice,940
283,engineering,940
284,programme,938
285,show,936
286,alone,932
287,neelix,927
288,moment,924
289,crewman,918
290,boy,918
291,rest,912
292,together,907
293,almost,906
294,true,903
295,quarters,902
296,obrien,902
297,start,899
298,mother,892
299,friend,890
300,admiral,886
301,also,873
302,night,872
303,sisko,871
304,took,869
305,yeah,869
306,war,868
307,number,867
308,chakotay,861
309,thousand,855
310,attack,855
311,end,852
312,saw,850
313,men,847
314,whatever,845
315,romulan,845
316,friends,844
317,girl,842
318,site,832
319,harry,831
320,within,830
321,live,825
322,thirty,824
323,death,822
324,question,820
325,couldnt,816
326,guard,812
327,killed,810
328,paris,798
329,seconds,797
330,change,795
331,damage,795
332,close,795
333,jim,795
334,team,794
335,young,793
336,arent,792
337,range,791
338,clear,789
339,others,788
340,actually,788
341,mccoy,788
342,transport,783
343,archer,782
344,meet,776
345,listen,776
346,children,773
347,thanks,771
348,minute,770
349,percent,770
350,reason,769
351,inc,769
352,bad,767
353,word,765
354,different,761
355,dax,760
356,move,759
357,real,759
358,means,758
359,tried,758
360,send,758
361,longer,756
362,orders,756
363,destroy,755
364,answer,748
365,zero,746
366,message,745
367,welcome,745
368,explain,741
369,engineer,741
370,ah,740
371,ferengi,740
372,signal,734
373,speak,730
374,scott,728
375,saying,725
376,certain,723
377,purposes,722
378,torres,722
379,probably,720
380,bajoran,720
381,information,719
382,excuse,717
383,theyll,717
384,child,716
385,episode,715
386,less,714
387,dna,713
388,entire,711
389,cbs,710
390,prepare,708
391,trouble,707
392,second,704
393,holders,702
394,position,700
395,®,700
396,©,700
397,fact,699
398,hard,696
399,taken,695
400,engines,694
401,world,694
402,orbit,693
403,suppose,693
404,everyone,688
405,begin,688
406,jake,688
407,turn,686
408,wed,685
409,face,684
410,taking,683
411,choice,683
412,surface,681
413,alert,680
414,happen,679
415,destroyed,678
416,either,678
417,subspace,678
418,along,676
419,important,676
420,truth,671
421,mark,670
422,species,666
423,sulu,666
424,hand,664
425,weapon,663
426,itll,663
427,deck,661
428,inside,659
429,thinking,658
430,light,658
431,supposed,657
432,hands,657
433,klingons,656
434,emergency,656
435,lock,655
436,asked,654
437,past,652
438,trust,651
439,starship,651
440,worry,648
441,board,648
442,alive,643
443,forge,643
444,impulse,642
445,complete,641
446,web,640
447,family,640
448,pilot,638
449,shuttle,638
450,high,635
451,case,635
452,fight,634
453,easy,633
454,morning,633
455,crewwoman,631
456,scan,631
457,backto,630
458,access,630
459,pages,629
460,kira,629
461,la,629
462,pretty,628
463,plan,627
464,level,626
465,sensor,626
466,geordi,626
467,nurse,625
468,went,622
469,quadrant,622
470,future,620
471,stardate,620
472,become,614
473,risk,614
474,body,614
475,read,613
476,job,612
477,sent,610
478,reading,610
479,plasma,607
480,core,607
481,glad,607
482,head,607
483,crusher,607
484,sense,606
485,necessary,606
486,telling,605
487,tactical,605
488,belanna,605
489,happy,604
490,nice,603
491,making,601
492,duty,601
493,difficult,600
494,ambassador,599
495,comm,599
496,kim,599
497,learn,597
498,eta,596
499,figure,595
500,correct,594
501,hour,593
502,known,592
503,half,592
504,humans,591
505,female,590
506,makes,590
507,waiting,587
508,readings,585
509,suggest,584
510,side,584
511,called,583
512,today,583
513,check,583
514,hurt,582
515,brought,581
516,entertainment,580
517,times,579
518,immediately,578
519,helm,577
520,sounds,577
521,late,576
522,gave,573
523,force,573
524,son,572
525,later,572
526,none,570
527,tom,569
528,lives,568
529,er,568
530,shall,568
531,feeling,566
532,forty,566
533,phasers,566
534,doubt,565
535,interesting,565
536,given,563
537,hull,559
538,speed,559
539,deal,557
540,join,557
541,kes,556
542,technology,554
543,expect,550
544,hit,549
545,miss,548
546,continue,548
547,respective,547
548,forward,546
549,wants,546
550,phaser,546
551,dominion,544
552,allow,543
553,uss,543
554,business,542
555,battle,538
556,gul,538
557,fifty,535
558,counsellor,534
559,months,533
560,forget,532
561,certainly,530
562,save,528
563,agree,527
564,red,527
565,soldier,526
566,bashir,525
567,mine,523
568,appears,521
569,says,520
570,situation,519
571,unless,519
572,ones,519
573,evidence,518
574,behind,517
575,hello,517
576,emh,517
577,voices,517
578,bajor,516
579,brother,514
580,play,513
581,coordinates,512
582,screen,511
583,normal,510
584,running,510
585,sound,506
586,trip,505
587,sit,505
588,picking,504
589,knows,504
590,garak,504
591,however,503
592,wesley,500
593,memory,498
594,needs,495
595,main,492
596,experience,492
597,hey,491
598,personal,491
599,weeks,490
600,realise,490
601,luck,489
602,started,489
603,using,488
604,kilometres,488
605,device,487
606,form,487
607,sos,487
608,starbase,485
609,simply,484
610,jemhadar,484
611,holodeck,482
612,shut,481
613,twelve,481
614,whole,480
615,food,480
616,whos,480
617,several,480
618,tomorrow,478
619,understood,477
620,safe,476
621,cardassians,476
622,year,476
623,tpol,475
624,aware,474
625,radiation,474
626,troi,473
627,werent,472
628,decision,472
629,holding,472
630,eyes,471
631,willing,471
632,honour,470
633,follow,469
634,eps,469
635,died,468
636,small,466
637,break,465
638,padd,463
639,reach,462
640,rather,462
641,met,462
642,game,461
643,history,460
644,nog,460
645,listingstar,459
646,studios,459
647,agreed,458
648,analysis,458
649,cargo,458
650,person,455
651,blood,454
652,appreciate,454
653,maquis,451
654,area,450
655,sleep,450
656,consider,449
657,simple,448
658,wife,448
659,sort,446
660,officers,445
661,moving,445
662,ro,444
663,impossible,443
664,escape,442
665,gentlemen,442
666,asking,441
667,probe,441
668,support,439
669,story,437
670,leaving,436
671,dukat,435
672,offer,433
673,accept,432
674,scotty,432
675,target,432
676,status,430
677,questions,429
678,barclay,429
679,big,428
680,police,428
681,alpha,425
682,shouldnt,424
683,heart,424
684,bay,424
685,approaching,424
686,trademarks,422
687,vulcans,421
688,online,421
689,felt,421
690,acknowledged,420
691,watch,419
692,property,416
693,source,415
694,according,414
695,galaxy,414
696,cause,413
697,test,410
698,array,409
699,beginning,409
700,metres,409
701,offline,409
702,odn,408
703,cut,407
704,request,405
705,lose,404
706,free,404
707,sign,403
708,wormhole,402
709,rom,402
710,jack,402
711,bones,399
712,response,398
713,pattern,398
714,beautiful,397
715,colony,397
716,women,395
717,promise,395
718,lwaxana,395
719,medic,392
720,class,391
721,condition,391
722,miles,391
723,gowron,391
724,tucker,389
725,sometimes,388
726,comes,387
727,keiko,387
728,dangerous,387
729,launch,386
730,strange,385
731,dad,385
732,survive,385
733,week,384
734,proceed,384
735,kazon,384
736,apparently,384
737,record,383
738,attempt,383
739,changed,383
740,phlox,382
741,bit,381
742,party,381
743,section,381
744,jeanluc,381
745,crowd,380
746,heading,379
747,locked,377
748,transfer,377
749,needed,376
750,words,376
751,daughter,376
752,peace,376
753,uhura,375
754,unusual,375
755,living,374
756,decided,374
757,search,374
758,planets,373
759,fast,372
760,fifteen,371
761,learned,371
762,mistake,370
763,brain,370
764,romulans,369
765,finished,368
766,empire,367
767,appear,365
768,council,365
769,effect,364
770,attacked,363
771,deep,362
772,giving,362
773,male,362
774,levels,361
775,wheres,361
776,channel,361
777,losing,361
778,near,361
779,interested,360
780,drive,360
781,supplemental,359
782,vessels,358
783,happening,358
784,educational,357
785,helmsman,357
786,respect,356
787,ops,356
788,science,355
789,foreducational,354
790,copyrightsproperty,354
791,damaged,353
792,obviously,352
793,enemy,352
794,assume,352
795,shield,352
796,perfect,350
797,standing,349
798,relatedmarks,348
799,copyrights,348
800,chekov,348
801,serious,347
802,eat,346
803,permission,345
804,step,345
805,wonder,345
806,quickly,344
807,scans,344
808,sector,343
809,happens,343
810,responsible,343
811,imagine,343
812,tractor,343
813,outside,342
814,goes,342
815,prepared,342
816,completely,342
817,dream,341
818,leader,340
819,julian,340
820,protect,339
821,somehow,338
822,busy,338
823,except,338
824,anymore,338
825,closer,337
826,pain,336
827,lead,335
828,beverly,335
829,policeman,335
830,couple,334
831,patient,333
832,general,333
833,though,332
834,engine,332
835,maintain,332
836,thoughts,332
