,Word,Frequency
0,sisko,101
1,founder,79
2,kira,78
3,odo,71
4,garak,66
5,bashir,54
6,im,52
7,dukat,51
8,obrien,48
9,well,48
10,weyoun,46
11,ezri,42
12,quark,41
13,dominion,38
14,jemhadar,38
15,winn,38
16,youre,37
17,going,36
18,dont,36
19,damar,35
20,us,34
21,worf,33
22,know,31
23,cardassia,30
24,back,29
25,go,27
26,kasidy,27
27,viewscreen,27
28,nog,26
29,would,25
30,one,25
31,cardassian,25
32,broca,24
33,right,22
34,think,22
35,ross,22
36,oh,21
37,see,21
38,martok,21
39,ill,20
40,like,20
41,vic,19
42,say,18
43,gor,18
44,electronic,18
45,noise,18
46,mila,18
47,get,17
48,thats,17
49,two,17
50,cant,17
51,people,17
52,ive,16
53,captain,16
54,sir,16
55,time,15
56,come,15
57,way,15
58,breen,15
59,pah,15
60,fire,15
61,sure,14
62,never,14
63,whats,14
64,war,14
65,room,14
66,yes,13
67,want,13
68,tell,13
69,isnt,13
70,could,13
71,better,13
72,need,13
73,caves,13
74,julian,12
75,good,12
76,bridge,12
77,federation,12
78,wont,12
79,weve,12
80,ships,12
81,first,11
82,theyre,11
83,said,11
84,id,11
85,briefing,11
86,long,11
87,wraiths,11
88,cardassians,11
89,last,11
90,link,11
91,make,10
92,something,10
93,hes,10
94,jake,10
95,take,10
96,end,10
97,prophets,10
98,bajoran,10
99,stand,10
100,door,10
101,may,9
102,theres,9
103,lets,9
104,youve,9
105,keiko,9
106,try,9
107,stop,9
108,give,9
109,thought,9
110,feel,9
111,promenade,9
112,commander,9
113,lost,9
114,life,9
115,dead,9
116,new,9
117,talking,9
118,still,9
119,sarah,9
120,kosst,9
121,amojan,9
122,man,9
123,goes,9
124,another,9
125,boom,9
126,even,9
127,goodbye,9
128,leave,8
129,quarters,8
130,alamo,8
131,let,8
132,help,8
133,promise,8
134,much,8
135,find,8
136,many,8
137,cellar,8
138,nothing,8
139,rest,8
140,three,8
141,put,8
142,around,8
143,nerys,8
144,great,8
145,nine,7
146,day,7
147,miles,7
148,battle,7
149,together,7
150,hear,7
151,ben,7
152,believe,7
153,ship,7
154,words,7
155,forces,7
156,fight,7
157,entire,7
158,look,7
159,done,7
160,die,7
161,tonight,7
162,power,7
163,youd,7
164,problem,7
165,planet,7
166,must,7
167,attack,7
168,ekoor,7
169,change,7
170,behind,6
171,doctor,6
172,night,6
173,youll,6
174,home,6
175,molly,6
176,please,6
177,soldiers,6
178,maybe,6
179,yet,6
180,mean,6
181,earth,6
182,course,6
183,havent,6
184,necessary,6
185,colonel,6
186,ensign,6
187,fleet,6
188,destroy,6
189,looking,6
190,quadrant,6
191,things,6
192,prime,6
193,matter,6
194,city,6
195,afraid,6
196,chief,6
197,happy,6
198,ask,6
199,emissary,6
200,vics,6
201,lines,6
202,trying,6
203,thank,6
204,chancellor,6
205,flames,6
206,space,5
207,yeah,5
208,big,5
209,far,5
210,really,5
211,defiant,5
212,without,5
213,got,5
214,model,5
215,sounds,5
216,told,5
217,ready,5
218,head,5
219,taking,5
220,waiting,5
221,anything,5
222,left,5
223,victory,5
224,glad,5
225,wish,5
226,wrong,5
227,anyone,5
228,ground,5
229,free,5
230,shes,5
231,old,5
232,engineering,5
233,wait,5
234,soon,5
235,game,5
236,knowing,5
237,miss,5
238,clear,5
239,order,5
240,keep,5
241,four,5
242,bad,5
243,house,5
244,years,5
245,coming,5
246,pretty,5
247,side,5
248,perhaps,5
249,cargo,5
250,dying,5
251,ever,5
252,deep,4
253,five,4
254,hundred,4
255,everything,4
256,someone,4
257,alive,4
258,tomorrow,4
259,stay,4
260,fine,4
261,play,4
262,knew,4
263,siskos,4
264,enters,4
265,mind,4
266,hope,4
267,invasion,4
268,mine,4
269,fall,4
270,alpha,4
271,heard,4
272,traitor,4
273,destroyed,4
274,body,4
275,understand,4
276,shoots,4
277,every,4
278,theyll,4
279,face,4
280,stairs,4
281,always,4
282,getting,4
283,turned,4
284,kind,4
285,engineer,4
286,oc,4
287,away,4
288,asking,4
289,kill,4
290,use,4
291,outside,4
292,benjamin,4
293,adami,4
294,occupation,4
295,celestial,4
296,temple,4
297,survive,4
298,holosuite,4
299,sixty,4
300,easy,4
301,lives,4
302,party,4
303,making,4
304,centre,4
305,agree,4
306,remember,4
307,troops,4
308,klingons,4
309,romulans,4
310,chance,4
311,exactly,4
312,building,4
313,speak,4
314,admiral,4
315,screen,4
316,trust,4
317,brought,4
318,thing,4
319,live,4
320,enough,4
321,second,4
322,reason,4
323,book,4
324,part,4
325,hard,4
326,bajor,4
327,remembers,4
328,lot,3
329,true,3
330,leaving,3
331,happened,3
332,deal,3
333,holding,3
334,obriens,3
335,forget,3
336,already,3
337,teach,3
338,wars,3
339,hows,3
340,walk,3
341,reports,3
342,doesnt,3
343,makes,3
344,run,3
345,follow,3
346,front,3
347,today,3
348,found,3
349,along,3
350,sorry,3
351,legate,3
352,sound,3
353,sight,3
354,prisoners,3
355,begin,3
356,force,3
357,comes,3
358,small,3
359,boy,3
360,worried,3
361,quite,3
362,love,3
363,past,3
364,talk,3
365,arent,3
366,actually,3
367,little,3
368,besides,3
369,worry,3
370,constable,3
371,limbo,3
372,intend,3
373,theyve,3
374,heart,3
375,men,3
376,learned,3
377,gone,3
378,hell,3
379,lounge,3
380,card,3
381,fish,3
382,throws,3
383,hand,3
384,hasnt,3
385,fighting,3
386,friends,3
387,busy,3
388,pallie,3
389,inside,3
390,visit,3
391,ironic,3
392,meant,3
393,spirit,3
394,range,3
395,communications,3
396,sabotage,3
397,telling,3
398,acts,3
399,twenty,3
400,able,3
401,couldnt,3
402,send,3
403,security,3
404,wouldnt,3
405,return,3
406,defeat,3
407,call,3
408,gentlemen,3
409,made,3
410,bottle,3
411,bloodwine,3
412,gets,3
413,hands,3
414,mister,3
415,wonder,3
416,opens,3
417,ds,3
418,position,3
419,aye,3
420,weapons,3
421,fail,3
422,port,3
423,bow,3
424,sign,3
425,god,3
426,guess,3
427,lano,3
428,kala,3
429,corridor,3
430,bay,3
431,eight,3
432,rather,3
433,sent,3
434,set,3
435,solids,3
436,cure,3
437,idea,3
438,moment,3
439,wardroom,3
440,known,3
441,whos,3
442,upper,3
443,level,3
444,learn,3
445,minsk,3
446,certainly,3
447,wraith,3
448,airlock,3
449,station,3
450,quarks,3
451,leaves,3
452,spartans,3
453,days,3
454,computer,2
455,questions,2
456,spots,2
457,suppose,2
458,case,2
459,finally,2
460,trees,2
461,called,2
462,belongs,2
463,speaking,2
464,offer,2
465,academy,2
466,cold,2
467,stomach,2
468,bothering,2
469,morning,2
470,ends,2
471,months,2
472,bathroom,2
473,doorbell,2
474,hey,2
475,kas,2
476,absolutely,2
477,hurry,2
478,joining,2
479,reach,2
480,outcome,2
481,either,2
482,pleasure,2
483,apparently,2
484,mistaken,2
485,shall,2
486,win,2
487,capital,2
488,alley,2
489,sneak,2
490,forward,2
491,looked,2
492,times,2
493,headquarters,2
494,safer,2
495,lead,2
496,hiding,2
497,stops,2
498,work,2
499,support,2
500,full,2
501,tea,2
502,inertial,2
503,person,2
504,angry,2
505,knows,2
506,jadzia,2
507,decision,2
508,didnt,2
509,move,2
510,torque,2
511,buffers,2
512,wasnt,2
513,mother,2
514,task,2
515,lies,2
516,news,2
517,office,2
518,hello,2
519,restored,2
520,hoping,2
521,forgive,2
522,took,2
523,history,2
524,regret,2
525,actions,2
526,release,2
527,simple,2
